,day,day_nr,article_number,quantity_batch,quantity,article_revenue,revenue_total
3720,2022-02-16,1,11,1.0,16.0,16448,16448.0
5790,2022-02-16,1,79,3.0,48.0,24480,73440.0
6720,2022-02-16,1,437,1.0,16.0,19104,19104.0
7247,2022-02-18,3,430,1.0,16.0,26768,26768.0
5991,2022-02-24,7,98,18.0,288.0,20064,361152.0
1956,2022-02-24,7,124,1.0,16.0,16736,16736.0
2363,2022-02-28,9,404,2.0,32.0,19552,39104.0
550,2022-03-02,11,174,1.0,16.0,14640,14640.0
5516,2022-03-03,12,44,3.0,48.0,28208,84624.0
941,2022-03-03,12,66,1.0,16.0,18976,18976.0
6161,2022-03-03,12,201,2.0,32.0,12336,24672.0
2127,2022-03-04,13,137,22.0,352.0,25808,567776.0
432,2022-03-04,13,287,23.0,368.0,21440,493120.0
6522,2022-03-04,13,417,6.0,96.0,25072,150432.0
4453,2022-03-07,14,265,10.0,160.0,18832,188320.0
5264,2022-03-08,15,35,3.0,48.0,13280,39840.0
3044,2022-03-08,15,52,2.0,32.0,12464,24928.0
5879,2022-03-08,15,67,6.0,96.0,21952,131712.0
404,2022-03-08,15,176,6.0,96.0,19984,119904.0
2744,2022-03-08,15,182,10.0,160.0,18880,188800.0
5909,2022-03-08,15,319,2.0,32.0,17856,35712.0
6464,2022-03-08,15,385,5.0,80.0,16992,84960.0
5714,2022-03-11,3,102,16.0,256.0,22736,363776.0
6078,2022-03-11,3,417,29.0,464.0,25072,727088.0
6274,2022-03-11,3,437,25.0,400.0,19104,477600.0
1977,2022-03-14,4,137,62.0,992.0,25808,1600096.0
395,2022-03-14,4,287,8.0,128.0,21440,171520.0
5590,2022-03-15,5,98,13.0,208.0,20064,260832.0
3238,2022-03-15,5,324,5.0,80.0,17344,86720.0
6276,2022-03-15,5,437,48.0,768.0,19104,916992.0
397,2022-03-16,6,287,17.0,272.0,21440,364480.0
6081,2022-03-16,6,417,57.0,912.0,25072,1429104.0
3898,2022-03-17,7,77,7.0,112.0,18016,126112.0
5592,2022-03-17,7,98,7.0,112.0,20064,140448.0
1980,2022-03-17,7,137,50.0,800.0,25808,1290400.0
3814,2022-03-17,7,348,5.0,80.0,22816,114080.0
3366,2022-03-17,7,369,5.0,80.0,25696,128480.0
6447,2022-03-18,8,173,23.0,368.0,23728,545744.0
399,2022-03-18,8,287,20.0,320.0,21440,428800.0
3367,2022-03-18,8,369,10.0,160.0,25696,256960.0
6083,2022-03-18,8,417,21.0,336.0,25072,526512.0
3900,2022-03-21,9,77,8.0,128.0,18016,144128.0
3816,2022-03-21,9,348,10.0,160.0,22816,228160.0
6280,2022-03-21,9,437,56.0,896.0,19104,1069824.0
2837,2022-03-22,10,52,2.0,32.0,12464,24928.0
877,2022-03-22,10,66,6.0,96.0,18976,113856.0
2907,2022-03-22,10,110,4.0,64.0,13936,55744.0
6239,2022-03-22,10,149,20.0,320.0,25712,514240.0
247,2022-03-22,10,158,1.0,16.0,19472,19472.0
3845,2022-03-22,10,208,2.0,32.0,15760,31520.0
3299,2022-03-22,10,305,6.0,96.0,17984,107904.0
6085,2022-03-22,10,417,11.0,176.0,25072,275792.0
6379,2022-03-22,10,494,22.0,352.0,22912,504064.0
3902,2022-03-23,11,77,7.0,112.0,18016,126112.0
5596,2022-03-23,11,98,4.0,64.0,20064,80256.0
1984,2022-03-23,11,137,25.0,400.0,25808,645200.0
402,2022-03-23,11,287,11.0,176.0,21440,235840.0
5876,2022-03-23,11,311,14.0,224.0,22272,311808.0
3244,2022-03-23,11,324,8.0,128.0,17344,138752.0
3818,2022-03-23,11,348,5.0,80.0,22816,114080.0
1985,2022-03-24,12,137,28.0,448.0,25808,722624.0
6241,2022-03-24,12,149,5.0,80.0,25712,128560.0
3819,2022-03-24,12,348,5.0,80.0,22816,114080.0
3371,2022-03-24,12,369,10.0,160.0,25696,256960.0
6087,2022-03-24,12,417,26.0,416.0,25072,651872.0
1986,2022-03-25,13,137,56.0,896.0,25808,1445248.0
404,2022-03-25,13,287,18.0,288.0,21440,385920.0
1987,2022-03-28,14,137,74.0,1184.0,25808,1909792.0
1584,2022-03-31,3,482,14.0,224.0,21792,305088.0
5407,2022-04-01,4,79,30.0,480.0,24480,734400.0
396,2022-04-04,5,287,19.0,304.0,21440,407360.0
5870,2022-04-04,5,311,3.0,48.0,22272,66816.0
732,2022-04-04,5,329,3.0,48.0,22752,68256.0
5495,2022-04-07,8,167,3.0,48.0,22064,66192.0
5873,2022-04-07,8,311,71.0,1136.0,22272,1581312.0
5874,2022-04-08,9,311,74.0,1184.0,22272,1648128.0
401,2022-04-11,10,287,6.0,96.0,21440,128640.0
5875,2022-04-11,10,311,46.0,736.0,22272,1024512.0
3369,2022-04-11,10,369,14.0,224.0,25696,359744.0
1591,2022-04-11,10,482,2.0,32.0,21792,43584.0
6379,2022-04-11,10,494,6.0,96.0,22912,137472.0
5876,2022-04-12,11,311,74.0,1184.0,22272,1648128.0
1985,2022-04-13,12,137,24.0,384.0,25808,619392.0
3819,2022-04-13,12,348,36.0,576.0,22816,821376.0
3371,2022-04-13,12,369,14.0,224.0,25696,359744.0
1986,2022-04-14,13,137,74.0,1184.0,25808,1909792.0
5417,2022-04-15,14,79,32.0,512.0,24480,783360.0
6243,2022-04-15,14,149,34.0,544.0,25712,874208.0
405,2022-04-15,14,287,4.0,64.0,21440,85760.0
5879,2022-04-15,14,311,3.0,48.0,22272,66816.0
6033,2022-04-15,14,385,1.0,16.0,16992,16992.0
